standard license,use,distribution,derivatives,commercial,attribution,share alike,notification,license
,,,,,,,,"Conditions of Access All users need to acknowledge and agree to the following conditions before using NatureMap content: Data within NatureMap is provided with the participation and good will of data custodians and I will endeavour, where possible, to seek a collaborative approach with custodians in any research or papers published using NatureMap data. Re-sale of raw data or the commercial use of images or descriptive text (other than generated maps, species lists and reports) on this site is unauthorised unless written permission is obtained from the Department of Environment and Conservation (DEC). Appropriate and full acknowledgement of DEC and species data custodians (see Data Directory) must always be given in any publication that includes data sourced here. Data provided through NatureMap represents positive records of flora and fauna occurrence. The absence of a record should not be taken to mean flora or fauna is necessarily absent from an area. (To minimise the effect of data gaps, a buffer area should be applied that is reflective of the likelihood of surveys or collections having been undertaken in the target area.) My username and password will not be passed on to any other person or organisation. DEC and data custodians reserve the right to revoke registration if the above conditions of access are not complied with. I will notify DEC if any relevant conditions change that might affect my NatureMap authorisation level. Also note: Custodians have kindly granted permission to allow relatively large subsets of data to be downloaded for a wide range of uses, including within a commercial context. Note, however, it is not NatureMap policy to allow the downloading of entire datasets It is current custodian policy to only grant Advanced Access (see the Registration page) for bona fide research or conservation planning purposes. This does not extend to use within a commercial context. While this may appear restrictive, in fact basic registration provides a great deal of information on both conservation and non-conservation taxa, and all users are encouraged to explore NatureMap's sophisticated querying and mapping capabilities. DEC's Species and Communities Branch continues to provide information on detailed localities of conservation taxa to consultants and other commercial users on a fee-for-service basis. Fair Use Guidlines As stated above, we want as many people as possible to make use of the data available within NatureMap, so long as that use is ""fair"". It is considered fair for anyone to use information from NatureMap for conservation or planning purposes, including incorporating that information into reports or papers, or summarising and value-adding to data. It is not considered fair use to download raw data and on-sell it. That would contravene copyright. It is also bad business, because anyone could obtain the same data directly from NatureMap. Of particular note:Maps, species lists, reports and raw data may be freely used by anyone, including commercial consultants, for research, planning, generating reports and compilations, or for personal use, so long as the above conditions of access are complied with. Raw data, i.e. bulk detail records of individual locations that have been downloaded from NatureMap and not summarised, compiled or modified in any substantial way, may not be on-sold or rebadged without written permission from the Department of Environment and Conservation (DEC). This is consistent with Australian Copyright law. Other descriptive text and images, such as Thematic content on wetlands or ecological attributes, remain the property of NatureMap and copyright holders and may not be used without written permission from DEC. For full terms of use see Copyright page athttp://naturemap.dec.wa.gov.au/default.aspx"
,,,,,,,,"The Atlas of NSW Wildlife (Atlas) is administered by the Office of Environment and Heritage, Department of Premier and Cabinet (OEH). Distribution of Atlas data is governed by OEH's Sensitive Species Data Policy. For species categorised as sensitive, some or all locational information will not be disclosed depending on the species' status under the Policy (refer to the Sensitive Species Data Policy for full details  http://www.environment.nsw.gov.au/policiesandguidelines/SensitiveSpeciesPolicy.htm)In downloading Data from the Atlas of NSW Wildlife (the Data) via the ALA portal, you, the user, agree to accept the Terms and Conditions below. Your acceptance creates a binding legal agreement between you and the Office of Environment and Heritage, Department of Premier and Cabinet (OEH) that administers the Atlas of NSW Wildlife. If you do not agree with these Terms and Conditions, do not download Atlas of NSW Wildlife Data from the ALA portal.Terms and Conditions of Use:You are licensed to use, reproduce, distribute, publish or otherwise make available the Data, or to use or adapt the Data to create derivative works. In any reproduction, distribution or publication of the Data, you must attribute the source of the Data as the Atlas of NSW Wildlife, a resource owned by the State of New South Wales that holds data from a number of custodians including OEH, the National Herbarium of NSW, Forests NSW, the Australian Museum and the Australian Bird and Bat Banding Scheme. In any use or adaptation of the Data to create derivative works, you must acknowledge the use of the Data in the derivative work and attribute the source of the Data as the Atlas of NSW Wildlife, a resource owned by the State of New South Wales that holds data from a number of custodians including OEH, the National Herbarium of NSW, Forests NSW, the Australian Museum and the Australian Bird and Bat Banding Scheme. You acknowledge that the Data may contain errors and omissions and that you employ the Data at your own risk.Neither OEH nor any other Data Custodian will accept liability for any loss, damage, cost or expenses that you may incur as a result of the use of or reliance upon the Data. Data in the Atlas of NSW Wildlife is constantly updated and you should use the current Data from the ALA portal and not rely on material you have previously printed or downloaded."
,,,,,,,,"A copy of final article paper, book, etc to be forwarded to data provider."
,,,,,,,,The public databases of the EBI are freely available by any individual and for any purpose.  For details see http://www.ebi.ac.uk/Information/termsofuse.html
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2011 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Bat Database of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Lesser Horseshoe Bat Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the European Seabirds at Sea (ESAS) bird sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Marine Turtle Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the BioMar - LIFE project dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Heteroptera of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,The copyright for any material created by the DSMZ is reserved. The duplication or use of information and data such as texts or images is only permitted with the indication of the source or with prior approval by the DSMZ
false,true,false,false,?,true,?,true,"Humboldt State University Wildlife Museum data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of Wildlife Department. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the Wildlife Museum notified. Humboldt State University and its staff are not responsible for damages, injury or loss due to the use of these data."
,,,,,,,,"Owner grants GBIF a worldwide, non-exclusive right to: (i) use,        reproduce, perform, display, archive, transmit and distribute the        Content (including any trademarks, tradenames and logos in the        Content) in electronic form in connection with the Site, (ii) allow        users of the Site to use, search, copy, download and transmit the        Content, and (iii) modify and reformat the Content, but solely to the        extent necessary and for the purposes of: (a) conforming to the format        and ""look and feel"" of the Site, and (b) creating snippets, headlines        or teasers consisting of selected lines or sections from the Content        to be displayed on the Site (or displayed on other websites owned by        GBIF for the purposes of directing traffic to the Site)."
true,true,true,true,false,true,false,false,Zoological Museum - Natural History Museum of Denmark This work is licensed under a Creative Commons Attribution-Noncommercial License (http://creativecommons.org/licenses/by-nc/3.0/).
true,true,true,true,true,true,false,false,CC-BY
true,true,true,true,true,?,?,false,This [DATA(BASE)-NAME] is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
true,true,true,true,true,true,false,false,The dataset is published under an Open Data Commons license: http://www.opendatacommons.org/licenses/by/1.0/
false,true,true,true,false,false,false,false,Data may be used freely for non-commercial purposes. All others contact database administrator.
false,false,false,false,false,?,?,false,"All data given access here are the sole property of the Royal Belgian Institute for Natural Sciences (RBINS) and are protected by the laws of copyright.   The reuse of data, for any purpose whatsoever, is subject to prior authorization given by the Royal Belgian Institute for Natural Sciences (RBINS).   For more informations, comments or details on the above lines, please contact the Royal Belgian Institute for Natural Sciences (RBINS)."
false,?,?,?,?,?,?,?,"Copyright to this data is asserted by the State of Western Australia on behalf of the Western Australian Herbarium, Department of Environment and Conservation. Please review the copyright before using the data."
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Wood White Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,?,?,?,?,?,?,?,"© University of Tartu, Museum of Geology"
false,?,?,?,?,?,?,?,Institute of Traditional Medicine (ITM)
,,,,,,,,Reuse in any context not allowed without the express permission of ECOCEAN USA.
true,true,true,true,false,true,false,false,"The Tree of Life Project owns the copyright for the ToL Tree Structure XML File. This file is made available to the public under the terms of the Attribution-NonCommercial Creative Commons License. This license allows people to copy, modify, and redistribute the ToL tree structure, subject to some restrictions."
false,false,false,?,?,?,?,?,Data may not be used without permissionContact info@mantamatcher.org
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Survey of the native freshwater opossum shrimp (Mysis relicta) in Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hypogean Crustacea of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Caddisfly Records, Edenvale, Co. Wexford 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Lichens of Rocky Seashores dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Spiders of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Distribution Atlas of Butterflies in Ireland 1979 (An Foras Forbartha) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the ESAS cetacean sightings from 1980 to 2003. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the NPWS Seal Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,"Las publicaciones basadas en material de CEAB-CSIC deben incluir: (1) una lista de todas las colecciones de CEAB-CSIC utilizadas, preferentemente con el número de CEAB-CSIC y el nombre del investigador colector-identificador (PUIG M.A.) (2) Para publicaciones basadas en especímenes o en datos de CEAB-CSIC, donde se utilicen los mismos sin añadir nueva información (revisiones, georeferenciación, etc) se consultará con el investigador (PUIG M.A.) para establecer la forma de reconocimiento que aparecerá en la publicación (3) Para publicaciones en que se utilicen especímenes de CEAB-CSIC, colectados, descritos, identificados, iconografiados o estudiados por investigadores en activo del CEAB-CSIC será necesario pactar la coautoría de las mismas, en función del número de ejemplares utilizados y de la naturaleza de la publicación (4) Para publicaciones basadas en bases de datos generadas a partir de las colecciones del CEAB-CSIC, se consultará con el investigador (PUIG M.A.) para establecer la forma de reconocimiento que aparecerá en la publicación."
false,true,false,false,?,true,?,true,"NYSM data records may be used by individual researchers or researchgroups, but they may not be repackaged, resold, or redistributed in anyform without the express written consent of a curatorial staff member ofthe NYSM. If any of these records are used in an analysis or report, theprovenance of the original data must be acknowledged and the NYSMnotified. The NYSM and its staff are not responsiblefor damages, injury or loss due to the use of these data."
,,,,,,,,"Data are freely available through GBIF, OBIS, SCAR-MarBIN and through the AADC web site. If substantial parts of the database is used for other data or information products, please acknowledge the source."
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Collembola records dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hare Survey of Ireland 06/07 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Crop Wild Relative Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hedgerow Surveys of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Fleas (Siphonaptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Lice (Phthiraptera) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Mosquitoes (Diptera: Culicidae) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Rocky Shore Macroalgae dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Millipedes of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Microlepidoptera, National Museum of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ephemeroptera of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Sponges of Rathlin Island dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seaweeds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Road Kill Survey dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Quantitative Phytoplankton data from Irish lakes (EPA) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Littoral Macroinvertebrate data from Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Kingfisher Survey 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish National Badger Sett Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Deer Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Butterfly Monitoring Scheme dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Heritage Trees of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the EPA River Biologists data dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of County Waterford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Biodiversity records from Ireland - general dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Badger and Habitats Survey of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
true,true,true,true,true,true,true,false,Copyright Creative Commons Attribution-Share Alike License © 2011. http://creativecommons.org/licenses/by-sa/3.0/
true,true,true,true,false,true,true,false,Copyright Creative Commons Attribution-Noncommercial-Share Alike License © 2011. http://creativecommons.org/licenses/by-nc-sa/3.0/
true,true,true,true,true,false,false,false,"To the extent possible under law, the Université de Montréal Biodiversity Centre has waived all copyright and related or neighboring rights to this dataset, releasing it to the public domain under a CC0 waiver (http://creativecommons.org/publicdomain/zero/1.0/). Users of the data are encouraged to follow the Canadensys norms for data use and publication (http://www.canadensys.net/norms)."
false,false,false,?,?,?,?,?,The data base or part of it may only be used or copied by the written permission from the director of the CeDocBiV
false,true,true,true,true,true,?,false,GBIF Data Use Agreement and GBIF Data Sharing Ageement apply
false,true,false,false,?,true,?,true,"Zoological Institute (ZIN) data records may be used by individual researchers or research groups, but they may not be repackaged, resold, or redistributed in any form without the express written consent of a curatorial staff member of the ZIN. If any of these records are used in an analysis or report, the provenance of the original data must be acknowledged and the ZIN notified. The ZIN and its staff are not responsible for damages, injury or loss due to the use of these data."
false,?,?,?,?,?,?,?,No information
,,,,,,,,SIBA (Sistema de Información de la Biodiversidad de Andorra) es una iniciativa del Centre de Biodiversitat de l'Institut d'Estudis Andorrans [2004]'
false,true,true,true,true,false,false,false,The GRIN Taxonomy is public data with free and open access with no restrictions.
false,false,false,?,?,?,?,?,Terms of use ZMA data: All rights on this data file belong to the Zoological Museum Amsterdam. Please contact the ZMA director (zma@uva.nl) before secondary usage of data in electronic or printed form.
true,true,true,true,true,true,true,false,Tela Botanica a choisi de publier par défaut son contenu sous licence libre Creative Commons (by-sa) afin d'en faciliter la divulgation : http://creativecommons.org/licenses/by-sa/2.0/fr/
false,?,?,true,false,true,?,true,"Data records made available from Tiira Bird Observation System for the GBIF Data Portal may be used by individual researchers or research groups for scientific non-commercial purposes only. If any of these records are used in scientific analysis or report, the provenance of the original data must be acknowledged and the publication or report sent to BirdLife Finland (address: BirdLife Finland, Annankatu 29 A 16, FI-00100 Helsinki, Finland, office@birdlife.fi). If this data comprises an essential part of the work, a priori consent must be obtained, and the possibility of joint work negotiated. Any other purposes of use are forbidden in any form without the explicit written consent of BirdLife Finland. BirdLife Finland  and its staff are not responsible for damages, injury or loss due to the use of these data. Spatial accuracy of the data has been rounded to about 10 km.  Sensitive data has been left out.  More accurate records are available by special request.BirdLife Finland´s member associations have the right of ownership including unlimited and gratuitous right of use and any intellectual property rights to the above mentioned data records. BirdLife Finland has the right of use to these data records."
true,true,true,true,true,true,false,false,Data supplied is licensed under the Creative Commons Attribution 3.0 Australia License.
,,,,,,,,"When using the data please refer to the 'Dutch Vegetation Database' as managed by Alterra, Wageningen, The Netherlands."
,,,,,,,,Se debe citar la fuente y la colección en los trabajos resultantes de la consulta. Se recomienda el envío de una copia de los trabajos a los que de lugar la consulta al Servicio de Colecciones de la EEZA.
false,?,?,?,?,?,?,?,(c)Copyright President and Fellows of Harvard University and the MCZ Herpetology Collection. The MCZ does not guarantee the accuracy of these data. Individual researchers should verify individual records by making direct reference to corresponding museum specimens.
false,?,?,?,?,?,?,?,"© Herbarium Marburgense, Universität Marburg"
false,?,?,?,?,?,?,?,© Bayerische Staatssammlung für Paläontologie und Geologie
false,?,?,?,?,?,?,?,"© IBF Project, DiversityMobile"
false,?,?,?,?,?,?,?,© Staatssammlung für Anthropologie und Paläoanatomie München
false,?,?,?,?,?,?,?,"© Herbarium MSB, Universität München"
false,?,?,?,?,?,?,?,Not available until published
false,true,true,true,true,true,false,false,Freely available if cited
,,,,,,,,"For scientific and noncommercial purposes, the database can be consulted freely. If scientific publications are (partly) based on these data, authors are kindly requested to inform the legal owner.Commercial use is not granted without written permission by the legal owner."
false,true,true,true,true,false,false,false,No restrictions.
,,,,,,,,http://www3.unileon.es/dp/dbv/LEB/condiciones_de_uso.htm
false,true,true,true,true,false,false,false,Unrestricted
,,,,,,,,Restricted
false,?,?,?,?,?,?,?,Unknown
,,,,,,,,Freely available after moratorium period
true,true,true,true,false,true,true,false,This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
false,true,true,true,true,true,false,false,No restrictions (Dataset must be cited)
false,true,true,true,true,true,false,false,The copyright for any material created by the DSMZ is reserved. The duplication or use of information and data such as texts or images is only permitted with the indication of the source or with prior approval by the DSMZ.
,,,,,,,,http://www.museosdetenerife.org/static/OAMC/OAMCNormativa.php
false,?,?,?,?,?,?,?,Investigadores de reconocida competencia científica o avalados por personas o instituciones que tengan dicho reconocimiento.
false,?,?,?,?,?,?,?,"Thibaut Delsinne, Dr. Maurice Leponce RBINS"
false,false,false,?,?,?,?,?,Terms of use ZMA data: All rights on this data file belongs to the Zoological Museum Amsterdam. Please contact the ZMA director <zma@uva.nl> before secondary usage of data in electronic or printed form.
,,,,,,,,see http://www.usc.es/herbario
,,,,,,,,MNH_LEPIDOPTERA_SE_ASIA version 2008-05-07Contact Drs. J. van Tol (tol@naturalis.nl)
,,,,,,,,MACOI - Portuguese Seaweeds	for personal/academic use only
true,true,true,true,false,true,true,false,Attribution-NonCommercial-ShareAlike Creative Commons License
false,?,?,?,?,?,?,?,Matti Virtala and the Entomological Society of Finland.
,,,,,,,,Please contact STOWA before using the data in printed or digital publications.
false,true,true,true,?,true,false,false,This work is licenced under a CreativeCommons Licence.
,,,,,,,,RGM_MARTIN version 2007-03-06please contact Dr. F. Wesselingh
,,,,,,,,"Coelenterata collection of National Natural History Museum Naturalis, published by GBIFPlease contact Dr. B. Hoeksema (hoeksema@naturalis.nl) before usage of data in electronic files or printed publications"
