,,,,,,,,1,"A copy of final article paper, book, etc to be forwarded to data provider.",,,,,,,,,"A copy of final article paper, book, etc to be forwarded to data provider."
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Marine species distributions in Irish coastal waters dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Marine species distributions in Irish coastal waters dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Millipedes of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Millipedes of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Mosquitoes (Diptera: Culicidae) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Mosquitoes (Diptera: Culicidae) of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Moths Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Moths Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Bat Database of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Bat Database of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Pine Marten Survey of Ireland 2005 - 2007 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the National Pine Marten Survey of Ireland 2005 - 2007 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Northern Ireland European hare (Lepus europaeus) survey 2005 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Northern Ireland European hare (Lepus europaeus) survey 2005 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Pseudoscorpions of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Pseudoscorpions of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Quantitative Phytoplankton data from Irish lakes (EPA) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Quantitative Phytoplankton data from Irish lakes (EPA) dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Rocky Shore Macroalgae dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Rocky Shore Macroalgae dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seabird 2000 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seabird 2000 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seaweeds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Seaweeds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Sorbus in Killarney, Co.Kerry dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Sorbus in Killarney, Co.Kerry dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Spiders of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Spiders of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Sponges of Rathlin Island dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Sponges of Rathlin Island dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Survey of the native freshwater opossum shrimp (Mysis relicta) in Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Survey of the native freshwater opossum shrimp (Mysis relicta) in Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Breeding Birds in Britain and Ireland: 1968-1972. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The First Atlas of Wintering Birds in Britain and Ireland: 1981/82-1983/84. dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Flora of County Waterford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Flora of County Waterford dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Gibson spider collection dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Gibson spider collection dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the The Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Water Beetles of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2012, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Water Beetles of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the All Ireland Non-Marine Molluscan Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the All Ireland Non-Marine Molluscan Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Amphibians and reptiles of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Amphibians and reptiles of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Aquatic Oligochaeta of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Aquatic Oligochaeta of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Atlas of Mammals in Ireland 2010-2015 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Atlas of Mammals in Ireland 2010-2015 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Badger and Habitats Survey of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Badger and Habitats Survey of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Bees of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Bees of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Biodiversity records from Ireland - general dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Biodiversity records from Ireland - general dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Birds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Birds of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Butterfly Monitoring Scheme dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies - Irish Butterfly Monitoring Scheme dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Butterflies of Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Clare Biological Records Centre dataset dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Clare Biological Records Centre dataset dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Dragonfly Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Dragonfly Ireland dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the EPA River Biologists data dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the EPA River Biologists data dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hare Survey of Ireland 06/07 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Hare Survey of Ireland 06/07 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Inland Fisheries Ireland data on freshwater fish in Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Inland Fisheries Ireland data on freshwater fish in Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2011 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2011 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2012 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Ireland's BioBlitz 2012 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Marine Turtle Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Marine Turtle Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish National Crayfish Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish National Crayfish Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish New Zealand Flatworm Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish New Zealand Flatworm Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Wire Weed (Sargassum muticum) Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Irish Wire Weed (Sargassum muticum) Database dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Kingfisher Survey 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Kingfisher Survey 2010 dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
,,,,,,,,1,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Littoral Macroinvertebrate data from Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'",false,true,true,true,true,true,false,false,"Copyright 2013, National Biodiversity Data Centre, Waterford, Ireland. The information is free to use by individuals provided the owners of the data are acknowledged in any use of publication, or that the use of the data is cited in the following format - 'Data from the Littoral Macroinvertebrate data from Irish lakes dataset held by the National Biodiversity Data Centre www.biodiversityireland.ie, [insert date]'"
